Language Literacy,Qualification,Gender,Count,num_languages,education_level_ordinal,gender_numeric,eng_speaker,chi_speaker,malay_speaker,tamil_speaker,total_per_group,percentage
English & Non-Official Language Only,Post-Secondary (Non-Tertiary),Males,1840,2,4,1,1,0,0,0,190826,0.9642291930868959
Other Two Languages Only,Post-Secondary (Non-Tertiary),Males,271,2,4,1,0,0,0,0,190826,0.14201419093834172
"English, Chinese & Malay Only",Post-Secondary (Non-Tertiary),Males,4665,3,4,1,1,1,1,0,190826,2.444635427038244
"English, Malay & Tamil Only",Post-Secondary (Non-Tertiary),Males,1602,3,4,1,1,0,1,1,190826,0.8395082431115256
Other Three or More Languages,Post-Secondary (Non-Tertiary),Males,3056,3,4,1,0,0,0,0,190826,1.601458920692149
Not Literate,Polytechnic Diploma,Males,6,0,5,1,0,0,0,0,181149,0.003312190517198549
English Only,Polytechnic Diploma,Males,20257,1,5,1,1,0,0,0,181149,11.182507217815168
Chinese Only,Polytechnic Diploma,Males,1709,1,5,1,0,1,0,0,181149,0.94342226564872
Malay Only,Polytechnic Diploma,Males,119,1,5,1,0,0,1,0,181149,0.06569177859110456
Tamil Only,Polytechnic Diploma,Males,62,1,5,1,0,0,0,1,181149,0.03422596867771834
Non-Official Language Only,Polytechnic Diploma,Males,61,1,5,1,0,0,0,0,181149,0.03367393692485192
English & Chinese Only,Polytechnic Diploma,Males,109172,2,5,1,1,1,0,0,181149,60.26641052393333
English & Malay Only,Polytechnic Diploma,Males,31687,2,5,1,1,0,1,0,181149,17.492230153078406
English & Tamil Only,Polytechnic Diploma,Males,6981,2,5,1,1,0,0,1,181149,3.853733666760512
English & Non-Official Language Only,Polytechnic Diploma,Males,2014,2,5,1,1,0,0,0,181149,1.1117919502729798
Other Two Languages Only,Polytechnic Diploma,Males,64,2,5,1,0,0,0,0,181149,0.03533003218345119
"English, Chinese & Malay Only",Polytechnic Diploma,Males,4862,3,5,1,1,1,1,0,181149,2.6839783824365577
"English, Malay & Tamil Only",Polytechnic Diploma,Males,741,3,5,1,1,0,1,1,181149,0.4090555288740208
Other Three or More Languages,Polytechnic Diploma,Males,3414,3,5,1,0,0,0,0,181149,1.8846364042859745
Not Literate,Professional Qualification and Other Diploma,Males,18,0,6,1,0,0,0,0,87669,0.02053177291859152
English Only,Professional Qualification and Other Diploma,Males,13561,1,6,1,1,0,0,0,87669,15.468409586056644
Chinese Only,Professional Qualification and Other Diploma,Males,2699,1,6,1,0,1,0,0,87669,3.0786252837376953
Malay Only,Professional Qualification and Other Diploma,Males,96,1,6,1,0,0,1,0,87669,0.10950278889915478
Tamil Only,Professional Qualification and Other Diploma,Males,91,1,6,1,0,0,0,1,87669,0.10379951864399047
Non-Official Language Only,Professional Qualification and Other Diploma,Males,52,1,6,1,0,0,0,0,87669,0.05931401065370883
English & Chinese Only,Professional Qualification and Other Diploma,Males,40113,2,6,1,1,1,0,0,87669,45.7550559490812
English & Malay Only,Professional Qualification and Other Diploma,Males,12744,2,6,1,1,0,1,0,87669,14.536495226362797
English & Tamil Only,Professional Qualification and Other Diploma,Males,5123,2,6,1,1,0,0,1,87669,5.843570703441353
English & Non-Official Language Only,Professional Qualification and Other Diploma,Males,2180,2,6,1,1,0,0,0,87669,2.4866258312516396
