Language Literacy,Qualification,Gender,Count
English & Chinese Only,Professional Qualification and Other Diploma,Total,107375
English & Malay Only,Professional Qualification and Other Diploma,Total,30187
English & Tamil Only,Professional Qualification and Other Diploma,Total,9425
English & Non-Official Language Only,Professional Qualification and Other Diploma,Total,4795
Other Two Languages Only,Professional Qualification and Other Diploma,Total,209
Three or More Languages,Professional Qualification and Other Diploma,Total,29450
"English, Chinese & Malay Only",Professional Qualification and Other Diploma,Total,21987
"English, Malay & Tamil Only",Professional Qualification and Other Diploma,Total,1699
Other Three or More Languages,Professional Qualification and Other Diploma,Total,5764
Total,University,Total,1007183
Not Literate,University,Total,62
Literate,University,Total,1007121
One Language Only,University,Total,116113
English Only,University,Total,105310
Chinese Only,University,Total,8932
Malay Only,University,Total,351
Tamil Only,University,Total,603
Non-Official Language Only,University,Total,915
Two Languages Only,University,Total,770563
English & Chinese Only,University,Total,606851
English & Malay Only,University,Total,66847
English & Tamil Only,University,Total,44086
English & Non-Official Language Only,University,Total,52258
Other Two Languages Only,University,Total,521
Three or More Languages,University,Total,120446
"English, Chinese & Malay Only",University,Total,64684
"English, Malay & Tamil Only",University,Total,2619
Other Three or More Languages,University,Total,53143
Total,Total,Males,1505031
Not Literate,Total,Males,24030
Literate,Total,Males,1481001
One Language Only,Total,Males,391718
English Only,Total,Males,186633
Chinese Only,Total,Males,187106
Malay Only,Total,Males,15058
Tamil Only,Total,Males,2314
Non-Official Language Only,Total,Males,607
Two Languages Only,Total,Males,984846
English & Chinese Only,Total,Males,680263
English & Malay Only,Total,Males,214394
English & Tamil Only,Total,Males,54803
English & Non-Official Language Only,Total,Males,32591
Other Two Languages Only,Total,Males,2796
Three or More Languages,Total,Males,104436
"English, Chinese & Malay Only",Total,Males,59613
"English, Malay & Tamil Only",Total,Males,8158
Other Three or More Languages,Total,Males,36666
Total,No Qualification,Males,120584
Not Literate,No Qualification,Males,20888
Literate,No Qualification,Males,99696
One Language Only,No Qualification,Males,78965
English Only,No Qualification,Males,7558
Chinese Only,No Qualification,Males,65034
Malay Only,No Qualification,Males,5591
Tamil Only,No Qualification,Males,659
Non-Official Language Only,No Qualification,Males,122
Two Languages Only,No Qualification,Males,19822
English & Chinese Only,No Qualification,Males,11050
English & Malay Only,No Qualification,Males,6973
English & Tamil Only,No Qualification,Males,1084
English & Non-Official Language Only,No Qualification,Males,72
Other Two Languages Only,No Qualification,Males,642
Three or More Languages,No Qualification,Males,910
"English, Chinese & Malay Only",No Qualification,Males,530
"English, Malay & Tamil Only",No Qualification,Males,247
Other Three or More Languages,No Qualification,Males,133
Total,Primary,Males,80080
Not Literate,Primary,Males,1163
Literate,Primary,Males,78917
One Language Only,Primary,Males,49926
English Only,Primary,Males,7535
Chinese Only,Primary,Males,37816
Malay Only,Primary,Males,4046
Tamil Only,Primary,Males,515
Non-Official Language Only,Primary,Males,14
Two Languages Only,Primary,Males,27599
English & Chinese Only,Primary,Males,15407
English & Malay Only,Primary,Males,10210
English & Tamil Only,Primary,Males,1668
English & Non-Official Language Only,Primary,Males,25
Other Two Languages Only,Primary,Males,289
Three or More Languages,Primary,Males,1391
"English, Chinese & Malay Only",Primary,Males,746
"English, Malay & Tamil Only",Primary,Males,405
Other Three or More Languages,Primary,Males,240
Total,Lower Secondary,Males,128526
Not Literate,Lower Secondary,Males,721
Literate,Lower Secondary,Males,127805
One Language Only,Lower Secondary,Males,58755
English Only,Lower Secondary,Males,17427
Chinese Only,Lower Secondary,Males,38907
Malay Only,Lower Secondary,Males,1975
Tamil Only,Lower Secondary,Males,349
Non-Official Language Only,Lower Secondary,Males,98
Two Languages Only,Lower Secondary,Males,64630
English & Chinese Only,Lower Secondary,Males,40382
English & Malay Only,Lower Secondary,Males,19717
English & Tamil Only,Lower Secondary,Males,3422
English & Non-Official Language Only,Lower Secondary,Males,388
Other Two Languages Only,Lower Secondary,Males,721
Three or More Languages,Lower Secondary,Males,4420
"English, Chinese & Malay Only",Lower Secondary,Males,2954
"English, Malay & Tamil Only",Lower Secondary,Males,975
Other Three or More Languages,Lower Secondary,Males,490
Total,Secondary,Males,227613
Not Literate,Secondary,Males,425
Literate,Secondary,Males,227188
One Language Only,Secondary,Males,63122
English Only,Secondary,Males,37153
Chinese Only,Secondary,Males,24021
Malay Only,Secondary,Males,1735
Tamil Only,Secondary,Males,146
Non-Official Language Only,Secondary,Males,67
Two Languages Only,Secondary,Males,153202
English & Chinese Only,Secondary,Males,95414
English & Malay Only,Secondary,Males,48976
English & Tamil Only,Secondary,Males,7313
English & Non-Official Language Only,Secondary,Males,966
Other Two Languages Only,Secondary,Males,533
Three or More Languages,Secondary,Males,10864
"English, Chinese & Malay Only",Secondary,Males,6860
"English, Malay & Tamil Only",Secondary,Males,1801
Other Three or More Languages,Secondary,Males,2203
Total,Post-Secondary (Non-Tertiary),Males,190827
Not Literate,Post-Secondary (Non-Tertiary),Males,772
Literate,Post-Secondary (Non-Tertiary),Males,190055
One Language Only,Post-Secondary (Non-Tertiary),Males,38682
